file_id,CD45,CD45RA,CD19,CD11b,CD4,CD8,CD34,CD20,CD33,CD123,CD38,CD90,CD3,label
known,4.818121255,-0.011105773,-0.029039792,0.937431753,3.614643945,0.110811575,-0.10183044,-0.094007886,0.517443098,1.142718697,1.047488632,0.912706125,4.476507319,0
known,4.444918199,1.688388526,-0.080740134,1.787493839,4.268901567,1.402521435,0.540175406,-0.06685701,-0.092788007,-0.081200696,3.139739752,-0.152360968,5.463268846,0
known,5.076158857,1.347443604,1.165596976,0.230811473,4.264808399,1.079248519,-0.08977098900000001,0.274346152,-0.05471937,0.988050094,2.420525661,1.140299488,5.117661149,0
known,4.319150866,0.698837851,-0.117559698,0.371323958,4.042508973,1.196003989,-0.107379825,-0.052387317,0.552877976,-0.070900384,1.2130207240000002,-0.136831543,4.596439974,0
known,4.670228851,0.313127025,-0.057468581,-0.045521915,3.985782131,1.994741002,-0.034083639,-0.11638264,-0.051574008,-0.163355157,2.355810729,0.981426636,5.246655115,0
known,4.261805628,0.7717149809999999,-0.053121952,-0.113212061,4.119506372,1.133693848,-0.056492935,-0.154378873,0.231796658,-0.056612811,2.430607116,1.165901663,5.291722567,0
known,4.852878622,0.100896695,-0.046352211,1.216055499,4.385213498,0.793163512,0.12996148,-0.097268724,0.940589961,2.326293516,1.03875366,0.453578534,4.196084381,0
known,4.563172108,1.087237518,0.4531415170000001,-0.002684143,4.263960765,1.127489273,0.074315913,0.103790127,0.364635378,-0.103801011,1.180954361,0.90440841,3.789738058,0
known,4.871585691,0.230838292,-0.081813048,0.87257303,4.253201,1.199903162,0.15566302,0.202918143,-0.105156028,-0.139776601,2.03704426,-0.144413617,4.832971263999999,0
known,4.34070355,1.041552377,-0.05866352900000001,0.336267428,4.369501687,1.08581406,0.165189127,0.302519679,0.8204441809999999,1.674926549,1.2265740790000002,-0.03641883,4.996384573,0
known,5.160823822,0.226911417,0.19986876,0.416426073,4.156080716,1.1120444109999998,0.010269662,0.345381306,0.8947930000000001,-0.073601794,1.198219668,1.0522559459999998,5.164521586,0
known,3.853651854,-0.131872645,-0.001512775,-0.063947728,3.558283103,0.582533697,0.247678072,-0.087554594,0.479415001,-0.04676889,0.21723749,-0.15887348699999998,4.766041237,0
known,4.311845752,0.032169652,0.439574258,0.8527202290000001,3.937985631,2.252668376,-0.104921088,-0.032304706,-0.133166123,-0.073843032,1.191295153,5.286729327,4.7249110210000005,0
known,4.876205313,0.892525945,-0.026850737000000003,-0.001477102,3.478998348,-0.172745475,0.540807508,-0.056937949,-0.01426736,-0.06474684900000001,1.97377227,0.971969012,5.001926824,0
known,4.781610089,-0.033133911,-0.017586937,-0.08965852699999999,4.156130528,0.35400047100000004,-0.073918821,-0.151261557,-0.006184094,-0.164334977,1.374601818,-0.049505597,5.045121527,0
known,4.742645844,-0.078746282,-0.098225163,1.802818049,4.39375199,1.3858367740000002,0.122413674,0.18886275,-0.012609155,-0.08955422699999999,1.660932024,0.953692751,4.726104597,0
known,4.979106214,0.57324089,0.980774362,0.558545815,4.502592009,1.730221377,0.532623879,-0.00361797,0.49573848,0.166474113,1.3430908869999998,1.528290185,5.332922204,0
known,4.896259683,0.8254766309999999,-0.12947067,0.444413027,4.444340308,0.555580552,-0.099793262,0.991162688,-0.08699718599999999,-0.004407819,1.375072024,0.62750697,5.511278344,0
known,4.4699000280000005,1.407827414,-0.17534841399999998,0.094271143,3.868911182,1.245110516,-0.043382158,-0.119006553,-0.08748370400000001,-0.075225469,0.637820564,-0.13036974099999998,5.235283198,0
known,4.73550938,0.76815478,-0.045688947,-0.075383908,4.31049971,0.8783317690000001,0.851279852,-0.079408813,-0.036848163,0.284673241,-0.123822042,-0.026727653,4.715874882,0
known,4.957705418,0.819872445,-0.106501903,0.920830702,4.12153574,0.456376958,0.5209234779999999,-0.137974953,0.044308078,-0.055916902,2.7498031110000003,0.143188083,4.578070531,0
known,4.77105025,-0.033343800000000014,-0.148838351,0.66145298,4.064550778,1.579750403,0.581191248,0.547056115,0.99180669,-0.14765964,1.450067852,1.888460911,5.331941727,0
known,4.356038226,0.098214219,-0.146339429,-0.040394767000000005,3.475640199,1.845495031,-0.026429047,-0.149409345,-0.190799295,0.027033252,2.3764578480000003,1.422981948,5.206573637,0
known,4.768193355,0.6811958159999999,-0.024545564,0.390120589,4.041007101,0.52639655,-0.019742537,0.194707145,-0.047240994,-0.088503136,1.587683936,0.279403491,4.450384068,0
known,4.856636952,0.171631203,-0.16737154099999998,1.318860479,4.235642424,1.818489162,1.190373162,0.377101363,-0.0638238,0.30441577,2.134580917,-0.024452105,5.092838005,0
known,5.245049404,0.486078162,-0.085637059,1.77980507,4.597336376,0.7079842340000001,0.5717360570000001,0.297432554,1.352899897,-0.04927216,1.269238727,1.3810297230000002,4.623853693,0
known,4.8754451780000005,0.418292516,-0.048510054,0.203041899,4.3868565760000005,1.992005069,1.014213199,0.22892017,1.653039752,0.768811307,1.373470661,-0.076337341,4.717343798,0
known,5.148218612,-0.052185937,1.129369059,0.413005296,5.051545897,1.333985686,1.033713754,-0.08356820599999999,-0.140418775,0.238834693,0.632835384,0.8836301809999999,4.800654221,0
known,4.880074772,0.7507133979999999,1.285923452,-0.100115875,3.463914507,0.386254353,-0.010493267,-0.095688954,0.040628812,-0.165607055,2.154965744,-0.055129737000000005,5.103045686000001,0
known,4.649435705,1.452294847,-0.17211295899999998,1.058125478,4.402125736,1.6075776780000002,-0.05196136,-0.148927908,0.713080782,0.46876506,1.140088565,0.162075989,5.810844374,0
known,6.024059656,1.040291773,-0.167776906,0.407783291,4.006440849,1.190928766,1.193804598,-0.06277954,-0.07983309799999999,-0.11582893,2.940487444,-0.142953004,4.894806421,0
known,5.108656354,0.844364365,-0.185677457,0.16997293,4.545472934,-0.090400208,-0.054995413,-0.12300002,0.364282293,2.202371402,-0.246765725,0.310089925,3.664681534,0
known,4.82845721,1.835815376,-0.054623443,0.5317311579999999,4.302890768,0.628342231,-0.023723412000000003,-0.110027836,1.282730801,0.6285186220000001,3.1807560660000003,-0.027180478,4.956263119,0
known,4.833316737,0.993668006,0.415711527,0.909313048,4.157297971,1.7551490019999998,-0.097003098,-0.033483206,-0.070724265,-0.075306796,1.6051476530000002,0.446501963,4.424113838999999,0
known,4.756372597,0.7906837409999999,-0.086059861,1.200471805,4.059942633,1.4836102759999998,-0.01376001,-0.07769359,1.741488579,-0.043447655,1.190357764,0.759769158,5.029915252,0
known,4.300628497,-0.065210345,0.624030321,1.708576885,3.95029614,0.53232732,-0.000985847,-0.093556436,-0.036396773,0.226511492,0.592914284,0.35462103,4.697195856,0
